Year;City;Sport;Discipline;Event;Event gender;Medal;NOC
1924;Chamonix;Skating;Figure skating;individual;M;Silver;AUT
1924;Chamonix;Skating;Figure skating;individual;W;Gold;AUT
1924;Chamonix;Skating;Figure skating;pairs;X;Gold;AUT
1924;Chamonix;Bobsleigh;Bobsleigh;four-man;M;Bronze;BEL
1924;Chamonix;Ice Hockey;Ice Hockey;ice hockey;M;Gold;CAN
1924;Chamonix;Biathlon;Biathlon;military patrol;M;Silver;FIN
1924;Chamonix;Skating;Figure skating;pairs;X;Silver;FIN
1924;Chamonix;Skating;Speed skating;10000m;M;Gold;FIN
1924;Chamonix;Skating;Speed skating;10000m;M;Silver;FIN
1924;Chamonix;Skating;Speed skating;1500m;M;Gold;FIN
1924;Chamonix;Skating;Speed skating;5000m;M;Gold;FIN
1924;Chamonix;Skating;Speed skating;5000m;M;Silver;FIN
1924;Chamonix;Skating;Speed skating;500m;M;Bronze;FIN
1924;Chamonix;Skating;Speed skating;combined (4 events);M;Bronze;FIN
1924;Chamonix;Skating;Speed skating;combined (4 events);M;Gold;FIN
1924;Chamonix;Skiing;Cross Country S;18km;M;Bronze;FIN
1924;Chamonix;Biathlon;Biathlon;military patrol;M;Bronze;FRA
1924;Chamonix;Curling;Curling;curling;M;Bronze;FRA
1924;Chamonix;Skating;Figure skating;pairs;X;Bronze;FRA
1924;Chamonix;Bobsleigh;Bobsleigh;four-man;M;Silver;GBR
1924;Chamonix;Curling;Curling;curling;M;Gold;GBR
1924;Chamonix;Ice Hockey;Ice Hockey;ice hockey;M;Bronze;GBR
1924;Chamonix;Skating;Figure skating;individual;W;Bronze;GBR
1924;Chamonix;Skating;Speed skating;10000m;M;Bronze;NOR
1924;Chamonix;Skating;Speed skating;1500m;M;Bronze;NOR
1924;Chamonix;Skating;Speed skating;1500m;M;Silver;NOR
1924;Chamonix;Skating;Speed skating;5000m;M;Bronze;NOR
1924;Chamonix;Skating;Speed skating;500m;M;Bronze;NOR
1924;Chamonix;Skating;Speed skating;500m;M;Silver;NOR
1924;Chamonix;Skating;Speed skating;combined (4 events);M;Silver;NOR
1924;Chamonix;Skiing;Cross Country S;18km;M;Gold;NOR
1924;Chamonix;Skiing;Cross Country S;18km;M;Silver;NOR
1924;Chamonix;Skiing;Cross Country S;50km;M;Bronze;NOR
1924;Chamonix;Skiing;Cross Country S;50km;M;Gold;NOR
1924;Chamonix;Skiing;Cross Country S;50km;M;Silver;NOR
1924;Chamonix;Skiing;Nordic Combined;individual;M;Bronze;NOR
1924;Chamonix;Skiing;Nordic Combined;individual;M;Gold;NOR
